"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API Demos - 3 Test Aman Pasti Jalan + Allure","3","0","","0"
"4","","0","API Demos - Skenario Test Sederhana (Fix)","1","0","","0"
"2","","0","API Demos - 3 Test Aman Pasti Jalan","1","0","","0"
"2","","1","API Demos - 3 Test Sederhana dengan Report","0","0","","0"
"2","","0","API Demos - 3 Test Sederhana (Fix Pasti Jalan)","1","0","","0"
"2","","0","API Demos - 3 Test Aman dan Singkat","1","0","","0"
"2","","0","API Demos - 3 Test Sederhana (Pasti Jalan)","1","0","","0"
"0","","2","API Demos - Test Pasti Jalan Minimal","1","0","","0"
"3","","1","API Demos - Skenario Test Sederhana","1","0","","0"
"1","","0","API Demos - 3 Test Sederhana (Fix)","2","0","","0"
"0","","0","API Demos","1","0","","0"
