"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16561","2. Klik menu Accessibility","","Wed Aug 13 21:00:18 WIB 2025","broken","Wed Aug 13 21:00:35 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","38","1. Cek activity utama terbuka","","Wed Aug 13 21:00:18 WIB 2025","passed","Wed Aug 13 21:00:18 WIB 2025","","API Demos - Skenario Test Sederhana (Fix)","",""
"","343","1. Ambil screenshot utama","","Sat Aug 16 09:51:34 WIB 2025","passed","Sat Aug 16 09:51:34 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan + Allure","",""
"","5323","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:19:39 WIB 2025","broken","Wed Aug 13 21:19:45 WIB 2025","","API Demos - 3 Test Sederhana (Fix Pasti Jalan)","",""
"","22668","2. Klik menu Preferences → kembali","","Wed Aug 13 21:39:02 WIB 2025","broken","Wed Aug 13 21:39:25 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan","",""
"","22615","2. Klik menu Accessibility → kembali","","Wed Aug 13 21:21:16 WIB 2025","broken","Wed Aug 13 21:21:39 WIB 2025","","API Demos - 3 Test Sederhana (Pasti Jalan)","",""
"","38","1. Cek activity utama terbuka","","Wed Aug 13 21:21:16 WIB 2025","passed","Wed Aug 13 21:21:16 WIB 2025","","API Demos - 3 Test Sederhana (Pasti Jalan)","",""
"","39","1. Cek activity utama terbuka","","Wed Aug 13 21:25:10 WIB 2025","passed","Wed Aug 13 21:25:10 WIB 2025","","API Demos - 3 Test Aman dan Singkat","",""
"","2500","3. Klik menu Views → kembali","","Sat Aug 16 09:51:36 WIB 2025","passed","Sat Aug 16 09:51:39 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan + Allure","",""
"","22652","3. Klik menu Views → kembali","","Wed Aug 13 21:39:25 WIB 2025","broken","Wed Aug 13 21:39:48 WIB 2025","","API Demos - 3 Test Aman Pasti Jalan","",""
